"split","scene_name","sample_token","image_path","annotation_token","class_id","class_name","source_category","visibility_token","center_x_m","center_y_m","center_z_m","distance_m","within_10m","bbox_x1","bbox_y1","bbox_x2","bbox_y2","label_provenance"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","bc638d33e89848f58c0b3ccf3900c8bb","8","obstacle","movable_object.barrier","4","7.2690","0.8313","17.0508","18.5542","0","1305.13","509.58","1413.65","602.34","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","26fb370c13f844de9d1830f6176ebab6","2","car","vehicle.car","2","38.1176","0.6297","70.3892","80.0499","0","1450.43","487.46","1555.30","518.68","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","7e66fdf908d84237943c833e6c1b317a","0","person","human.pedestrian.adult","4","-0.3794","-0.2841","61.4716","61.4734","0","799.10","465.69","817.69","505.78","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","9d51d699f635478fbbcd82a70396dd62","0","person","human.pedestrian.adult","4","1.5718","-0.1078","60.0519","60.0726","0","838.78","470.47","859.96","508.21","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","b7cbc6d0e80e4dfda7164871ece6cb71","3","truck","vehicle.truck","3","6.8821","-0.0350","45.3185","45.8381","0","980.21","460.54","1040.07","522.30","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","df8917888b81424f8c0670939e61d885","0","person","human.pedestrian.adult","3","21.2798","0.2668","61.7600","65.3238","0","1242.26","479.04","1263.09","515.10","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","a522ce1d7f6545d7955779f25d01783b","0","person","human.pedestrian.adult","4","-1.2674","-0.3852","62.7244","62.7384","0","782.09","463.31","799.16","504.29","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","05de82bdb8484623906bb9d97ae87542","0","person","human.pedestrian.adult","4","-2.4471","0.4564","16.4236","16.6111","0","599.07","458.49","656.87","596.79","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","bfedb0d85e164b7697d1e72dd971fb72","8","obstacle","movable_object.pushable_pullable","4","-2.7392","0.6698","16.3070","16.5490","0","573.96","493.35","631.65","596.22","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","adf1594def9e4722b952fea33b307937","8","obstacle","movable_object.barrier","4","7.4268","0.8236","19.0627","20.4749","0","1265.56","507.35","1358.93","589.57","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","49f76277d07541c5a584aa14c9d28754","2","car","vehicle.car","4","-1.9049","0.1316","37.6019","37.6504","0","713.31","461.64","786.34","533.45","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","15a3b4d60b514db5a3468e2aef72a90c","8","obstacle","movable_object.barrier","4","7.6042","0.8384","21.0811","22.4263","0","1236.89","506.03","1313.07","581.42","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","18cc2837f2b9457c80af0761a0b83ccc","8","obstacle","movable_object.barrier","4","8.1526","0.7397","29.0810","30.2112","0","1146.21","498.46","1198.13","550.71","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","2bfcc693ae9946daba1d9f2724478fd4","8","obstacle","movable_object.barrier","4","7.0917","0.9144","12.9798","14.8190","0","1429.02","522.21","1600.00","648.90","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","b343000164024be9b8572a618e355f1b","0","person","human.pedestrian.adult","2","20.7979","0.5571","33.6791","39.5871","0","1577.19","477.48","1600.00","548.18","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","aeb21de4f59a4691824913ed70503382","0","person","human.pedestrian.adult","4","-4.9365","-0.2310","54.7345","54.9571","0","691.99","467.29","712.19","505.16","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","d30007cfae714a6d8ef0cf2dd2c6f11f","8","obstacle","movable_object.barrier","4","8.0441","0.7866","20.5285","22.0623","0","1271.98","502.45","1357.30","581.47","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","91e697e7cef44ceea98e0e9b936dd6d1","8","obstacle","movable_object.barrier","4","8.1656","0.7633","22.5510","23.9960","0","1238.05","500.72","1315.04","571.10","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","a286c9633fa34da5b978758f348996b0","2","car","vehicle.car","4","6.3947","0.3023","30.8477","31.5049","0","1034.67","469.50","1129.30","543.17","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","e8d06e222fcf4d73a489b47372395c77","0","person","human.pedestrian.adult","2","19.8990","0.2939","56.0873","59.5134","0","1253.25","478.37","1278.07","518.17","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","f3721bdfd7ee4fd2a4f94874286df471","3","truck","vehicle.truck","4","-4.4049","-0.4475","10.3655","11.2715","0","0.00","0.00","570.60","844.82","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","ccc807889c0447aca7506483a5039e3f","8","obstacle","movable_object.barrier","4","9.8727","0.4965","37.2466","38.5361","0","1131.77","491.12","1173.24","526.59","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","33e241c339a64d8d9154f2e2e895a6a5","8","obstacle","movable_object.barrier","4","8.3746","0.7075","26.5125","27.8127","0","1186.45","497.48","1248.65","555.41","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","bc1d4ea644d1481e9ec4294194d8b36e","8","obstacle","movable_object.trafficcone","3","28.5461","0.8184","64.4641","70.5065","0","1370.86","499.90","1383.32","515.32","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","0b0faa191f5e4ca493a0138c9c638a10","8","obstacle","movable_object.barrier","4","7.1818","0.9088","10.4945","12.7491","0","1571.56","528.56","1600.00","688.94","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","148b3b0a63434e8d8dd0c2b56dcc4fa5","2","car","vehicle.car","4","3.9625","0.1974","40.9801","41.1717","0","909.22","473.13","970.94","524.74","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","7eec555789624d289c858d00bbd2e536","8","obstacle","movable_object.barrier","4","8.4841","0.6392","28.5708","29.8108","0","1163.58","493.19","1223.19","548.40","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","4784de4304d2419dbddb9aba2748fa69","0","person","human.pedestrian.adult","3","22.8627","0.6001","43.4603","49.1108","0","1467.69","484.51","1497.61","534.01","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","6bd43869a39842d5860364b5274d011f","2","car","vehicle.car","3","30.0709","0.5506","59.8006","66.9379","0","1392.07","483.20","1516.46","523.88","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","56d7672e42344cffacac1f63eac22399","8","obstacle","movable_object.barrier","4","7.8940","0.8065","18.5361","20.1632","0","1311.86","506.22","1404.37","591.55","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","787ce4c9d8e840d399c390e259fa62d4","3","truck","vehicle.construction","2","-11.7206","-1.8436","65.0985","66.1708","0","541.17","425.32","633.43","485.41","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","d665640e61b44fd3b8eb0f5bf22500d0","8","obstacle","movable_object.barrier","4","7.3117","0.8640","12.5003","14.5074","0","1473.89","518.33","1600.00","650.28","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","4fb160492de64e00b76f4e316c19cb1c","2","car","vehicle.car","2","38.5787","0.4340","65.6595","76.1556","0","1504.03","483.22","1600.00","517.08","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","0987293d3d1442ac90a734bd46ab5806","0","person","human.pedestrian.adult","4","0.0413","-0.3560","57.7155","57.7166","0","807.01","462.40","827.22","505.19","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","4d0ee98ebc4f42bbbf5e56f9060f27cf","0","person","human.pedestrian.adult","4","1.8431","-0.2464","55.5285","55.5597","0","846.72","465.55","869.81","506.47","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","bc6607bc76414e45bbfd3c4d7e0f9b75","3","truck","vehicle.truck","3","7.2530","-0.1084","42.3732","42.9896","0","1001.73","456.05","1068.04","522.58","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","77683fc2daa343d4b4c53271d955c70b","0","person","human.pedestrian.adult","3","21.5538","0.2882","57.1296","61.0609","0","1282.55","478.45","1305.71","517.56","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","439996c12d594d84a1b941e80ba5a5a4","0","person","human.pedestrian.adult","4","-0.8496","-0.5578","58.8487","58.8575","0","788.74","457.69","807.11","501.46","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","bc306bd900d348429ff25d2cfde3e32d","0","person","human.pedestrian.adult","4","-2.3979","0.4529","11.9110","12.1584","0","524.45","445.19","599.72","637.46","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","44e1ff031bfb4079969d37f3985d58e1","8","obstacle","movable_object.pushable_pullable","4","-2.7106","0.6836","11.7151","12.0440","0","478.26","495.23","565.18","640.53","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","f81a1d5a7dc449c4aa2e385265ba87d6","8","obstacle","movable_object.barrier","4","7.4808","0.8422","14.5110","16.3475","0","1401.51","513.14","1547.39","624.87","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","ae589a5a2bdb4813ae8021cd51b7e6eb","2","car","vehicle.car","4","-1.7474","0.0260","35.6901","35.7328","0","712.77","456.07","790.64","532.29","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","48474dd075e6454b8fa25682b3133f10","8","obstacle","movable_object.barrier","4","7.6695","0.8398","16.5283","18.2404","0","1350.68","509.58","1464.43","608.32","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","cca7cd489fdf47dc9419a8bd27a09af4","8","obstacle","movable_object.barrier","4","8.2618","0.7233","24.5258","25.8901","0","1210.67","498.67","1277.77","561.51","official_3d_box_projected_to_cam_front"
"train","scene-0061","39586f9d59004284a7114a68825e8eec","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928112460.jpg","c5774936c46742ce9ef427016bc3ac6e","2","car","vehicle.car","4","28.6163","0.2722","66.3994","72.3039","0","1313.09","481.68","1412.57","512.18","official_3d_box_projected_to_cam_front"
"train","scene-0061","356d81f38dd9473ba590f39e266f54e5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg","3786fa636e5d4b5c85ec982a7e74a1a8","0","person","human.pedestrian.adult","4","-3.9342","0.0267","50.2111","50.3650","0","706.00","471.63","728.17","512.88","official_3d_box_projected_to_cam_front"
"train","scene-0061","356d81f38dd9473ba590f39e266f54e5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg","f9573a9fb80543f3a86d2aeb787fac54","8","obstacle","movable_object.barrier","4","8.1364","0.8886","15.6621","17.6718","0","1412.53","513.70","1544.43","619.83","official_3d_box_projected_to_cam_front"
"train","scene-0061","356d81f38dd9473ba590f39e266f54e5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg","69d79604125c4a0caaf0044fb7791b6a","8","obstacle","movable_object.barrier","4","8.2719","0.8861","17.6840","19.5431","0","1355.63","511.72","1468.06","603.33","official_3d_box_projected_to_cam_front"
"train","scene-0061","356d81f38dd9473ba590f39e266f54e5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg","b41e15b89fd44709b439de95dd723617","2","car","vehicle.car","4","6.5906","0.4488","26.2362","27.0550","0","1079.71","472.71","1198.51","560.26","official_3d_box_projected_to_cam_front"
"train","scene-0061","356d81f38dd9473ba590f39e266f54e5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg","65df25ccabbc4dd6999d414ce35fb3cd","0","person","human.pedestrian.adult","2","20.2422","0.5237","51.1377","55.0008","0","1303.77","482.81","1331.57","526.45","official_3d_box_projected_to_cam_front"
"train","scene-0061","356d81f38dd9473ba590f39e266f54e5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg","3b1c9f82380a4ecdaf43febdfdbcc0a8","3","truck","vehicle.truck","4","-4.4012","-0.3227","5.6039","7.1329","1","0.00","0.00","465.33","900.00","official_3d_box_projected_to_cam_front"
"train","scene-0061","356d81f38dd9473ba590f39e266f54e5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg","87ef87a58cb1435bb2b63b672ddf785c","8","obstacle","movable_object.barrier","4","10.0833","0.6522","32.3677","33.9082","0","1186.19","497.13","1236.95","538.17","official_3d_box_projected_to_cam_front"
"train","scene-0061","356d81f38dd9473ba590f39e266f54e5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg","6ad924b3d4e048039f1aa114e7b820b1","8","obstacle","movable_object.barrier","2","25.9013","0.7071","70.9791","75.5607","0","1258.32","493.98","1298.69","514.36","official_3d_box_projected_to_cam_front"
"train","scene-0061","356d81f38dd9473ba590f39e266f54e5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402928662460.jpg","c395fbbed9e5470bafdc3e83b970df67","8","obstacle","movable_object.barrier","4","8.5091","0.8377","21.6440","23.2716","0","1273.78","506.26","1358.70","578.28","official_3d_box_projected_to_cam_front"
